Image,7-Digit Output
BK1.jpg,"[6, 7, 6, 5, 7, 1, 3]"
BK10.jpg,"[7, 7, 6, 5, 7, 1, 3]"
BK11.jpg,"[4, 5, 5, 5, 7, 1, 3]"
BK12.jpg,"[6, 5, 3, 5, 7, 1, 3]"
BK13.jpg,"[7, 6, 5, 5, 7, 1, 3]"
BK14.jpg,"[6, 3, 7, 5, 7, 1, 3]"
BK15.jpg,"[7, 5, 1, 5, 7, 1, 3]"
BK16.jpg,"[7, 5, 6, 5, 7, 1, 3]"
BK17.jpg,"[6, 5, 4, 5, 7, 1, 3]"
BK18.jpg,"[6, 7, 6, 5, 7, 1, 3]"
BK19.jpg,"[6, 7, 5, 5, 7, 1, 3]"
BK2.jpg,"[6, 7, 1, 5, 7, 1, 3]"
BK20.jpg,"[5, 1, 0, 5, 7, 1, 3]"
BK21.jpg,"[6, 7, 1, 5, 7, 1, 3]"
BK22.jpg,"[5, 4, 5, 5, 7, 1, 3]"
BK23.jpg,"[5, 5, 4, 5, 7, 1, 3]"
BK24.jpg,"[6, 6, 5, 5, 7, 1, 3]"
BK25.jpg,"[6, 5, 7, 5, 7, 1, 3]"
BK26.jpg,"[5, 4, 7, 5, 7, 1, 3]"
BK27.jpg,"[5, 4, 5, 5, 7, 1, 3]"
BK28.jpg,"[0, 7, 6, 5, 7, 1, 3]"
BK29.jpg,"[7, 6, 3, 5, 7, 1, 3]"
BK3.jpg,"[7, 6, 0, 5, 7, 1, 3]"
BK30.jpg,"[4, 3, 1, 5, 7, 1, 3]"
BK31.jpg,"[7, 6, 5, 5, 7, 1, 3]"
BK32.jpg,"[5, 4, 7, 5, 7, 1, 3]"
BK33.jpg,"[0, 7, 6, 5, 7, 1, 3]"
BK34.jpg,"[5, 6, 1, 5, 7, 1, 3]"
BK35.jpg,"[6, 7, 5, 5, 7, 1, 3]"
BK36.jpg,"[7, 5, 3, 5, 7, 1, 3]"
BK37.jpg,"[6, 5, 3, 5, 7, 1, 3]"
BK38.jpg,"[6, 5, 3, 5, 7, 1, 3]"
BK39.jpg,"[5, 4, 7, 5, 7, 1, 3]"
BK4.jpg,"[7, 6, 0, 5, 7, 1, 3]"
BK40.jpg,"[7, 6, 7, 5, 7, 1, 3]"
BK41.jpg,"[5, 0, 7, 5, 7, 1, 3]"
BK42.jpg,"[5, 4, 3, 5, 7, 1, 3]"
BK43.jpg,"[5, 0, 7, 5, 7, 1, 3]"
BK44.jpg,"[5, 6, 1, 5, 7, 1, 3]"
BK45.jpg,"[6, 7, 1, 5, 7, 1, 3]"
BK46.jpg,"[5, 1, 7, 5, 7, 1, 3]"
BK47.jpg,"[5, 4, 7, 5, 7, 1, 3]"
BK48.jpg,"[7, 5, 4, 5, 7, 1, 3]"
BK49.jpg,"[7, 6, 7, 5, 7, 1, 3]"
BK5.jpg,"[7, 6, 5, 5, 7, 1, 3]"
BK50.jpg,"[0, 7, 6, 5, 7, 1, 3]"
BK51.jpg,"[5, 6, 5, 5, 7, 1, 3]"
BK52.jpg,"[6, 7, 1, 5, 7, 1, 3]"
BK53.jpg,"[7, 6, 7, 5, 7, 1, 3]"
BK54.jpg,"[6, 7, 6, 5, 7, 1, 3]"
BK55.jpg,"[6, 7, 6, 5, 7, 1, 3]"
BK6.jpg,"[4, 3, 3, 5, 7, 1, 3]"
BK7.jpg,"[5, 4, 7, 5, 7, 1, 3]"
BK8.jpg,"[5, 7, 5, 5, 7, 1, 3]"
BK9.jpg,"[6, 5, 4, 5, 7, 1, 3]"
