Image,7-Digit Output
T1.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T10.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T11.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T12.jpg,"[6, 5, 4, 5, 0, 3, 4]"
T13.jpg,"[3, 5, 1, 5, 0, 3, 4]"
T14.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T15.jpg,"[6, 7, 5, 5, 0, 3, 4]"
T16.jpg,"[7, 0, 7, 5, 0, 3, 4]"
T17.jpg,"[7, 6, 6, 5, 0, 3, 4]"
T18.jpg,"[7, 6, 4, 5, 0, 3, 4]"
T19.jpg,"[5, 6, 5, 5, 0, 3, 4]"
T2.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T20.jpg,"[6, 7, 0, 5, 0, 3, 4]"
T21.jpg,"[6, 5, 4, 5, 0, 3, 4]"
T22.jpg,"[3, 5, 4, 5, 0, 3, 4]"
T23.jpg,"[5, 6, 2, 5, 0, 3, 4]"
T24.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T25.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T26.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T27.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T28.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T29.jpg,"[7, 5, 6, 5, 0, 3, 4]"
T3.jpg,"[5, 4, 5, 5, 0, 3, 4]"
T30.jpg,"[7, 3, 5, 5, 0, 3, 4]"
T31.jpg,"[3, 4, 3, 5, 0, 3, 4]"
T32.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T33.jpg,"[6, 7, 6, 5, 0, 3, 4]"
T34.jpg,"[5, 7, 5, 5, 0, 3, 4]"
T35.jpg,"[5, 4, 5, 5, 0, 3, 4]"
T36.jpg,"[6, 7, 6, 5, 0, 3, 4]"
T37.jpg,"[5, 6, 5, 5, 0, 3, 4]"
T38.jpg,"[7, 5, 7, 5, 0, 3, 4]"
T39.jpg,"[5, 4, 7, 5, 0, 3, 4]"
T4.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T40.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T41.jpg,"[6, 5, 6, 5, 0, 3, 4]"
T42.jpg,"[7, 3, 2, 5, 0, 3, 4]"
T43.jpg,"[7, 6, 4, 5, 0, 3, 4]"
T44.jpg,"[7, 5, 6, 5, 0, 3, 4]"
T45.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T46.jpg,"[7, 4, 3, 5, 0, 3, 4]"
T47.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T48.jpg,"[7, 3, 7, 5, 0, 3, 4]"
T49.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T5.jpg,"[5, 6, 2, 5, 0, 3, 4]"
T50.jpg,"[6, 5, 3, 5, 0, 3, 4]"
T51.jpg,"[5, 4, 5, 5, 0, 3, 4]"
T52.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T53.jpg,"[5, 4, 7, 5, 0, 3, 4]"
T54.jpg,"[7, 5, 6, 5, 0, 3, 4]"
T55.jpg,"[7, 6, 5, 5, 0, 3, 4]"
T56.jpg,"[6, 7, 5, 5, 0, 3, 4]"
T57.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T58.jpg,"[6, 5, 4, 5, 0, 3, 4]"
T59.jpg,"[5, 4, 5, 5, 0, 3, 4]"
T6.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T60.jpg,"[6, 7, 1, 5, 0, 3, 4]"
T7.jpg,"[7, 5, 4, 5, 0, 3, 4]"
T8.jpg,"[7, 0, 7, 5, 0, 3, 4]"
T9.jpg,"[7, 3, 7, 5, 0, 3, 4]"
