Image,7-Digit Output
PP1.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP10.jpg,"[7, 6, 7, 6, 0, 2, 4]"
PP11.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP12.jpg,"[7, 6, 5, 6, 0, 2, 4]"
PP13.jpg,"[5, 5, 4, 6, 0, 2, 4]"
PP14.jpg,"[5, 4, 6, 6, 0, 2, 4]"
PP15.jpg,"[5, 4, 5, 6, 0, 2, 4]"
PP16.jpg,"[7, 6, 4, 6, 0, 2, 4]"
PP17.jpg,"[5, 4, 5, 6, 0, 2, 4]"
PP18.jpg,"[3, 2, 3, 6, 0, 2, 4]"
PP19.jpg,"[7, 6, 4, 6, 0, 2, 4]"
PP2.jpg,"[7, 5, 6, 6, 0, 2, 4]"
PP20.jpg,"[7, 5, 3, 6, 0, 2, 4]"
PP21.jpg,"[6, 7, 0, 6, 0, 2, 4]"
PP22.jpg,"[7, 6, 7, 6, 0, 2, 4]"
PP23.jpg,"[5, 0, 7, 6, 0, 2, 4]"
PP24.jpg,"[5, 4, 5, 6, 0, 2, 4]"
PP25.jpg,"[5, 0, 7, 6, 0, 2, 4]"
PP26.jpg,"[7, 6, 5, 6, 0, 2, 4]"
PP27.jpg,"[5, 4, 5, 6, 0, 2, 4]"
PP28.jpg,"[5, 6, 1, 6, 0, 2, 4]"
PP29.jpg,"[7, 6, 7, 6, 0, 2, 4]"
PP3.jpg,"[7, 6, 5, 6, 0, 2, 4]"
PP30.jpg,"[7, 6, 7, 6, 0, 2, 4]"
PP31.jpg,"[6, 3, 7, 6, 0, 2, 4]"
PP32.jpg,"[6, 3, 5, 6, 0, 2, 4]"
PP33.jpg,"[7, 6, 5, 6, 0, 2, 4]"
PP34.jpg,"[5, 0, 7, 6, 0, 2, 4]"
PP35.jpg,"[7, 5, 6, 6, 0, 2, 4]"
PP36.jpg,"[5, 4, 7, 6, 0, 2, 4]"
PP37.jpg,"[5, 4, 7, 6, 0, 2, 4]"
PP38.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP39.jpg,"[6, 7, 1, 6, 0, 2, 4]"
PP4.jpg,"[6, 7, 5, 6, 0, 2, 4]"
PP40.jpg,"[6, 7, 1, 6, 0, 2, 4]"
PP41.jpg,"[5, 5, 4, 6, 0, 2, 4]"
PP42.jpg,"[5, 4, 5, 6, 0, 2, 4]"
PP43.jpg,"[7, 6, 7, 6, 0, 2, 4]"
PP44.jpg,"[5, 1, 7, 6, 0, 2, 4]"
PP45.jpg,"[6, 7, 6, 6, 0, 2, 4]"
PP46.jpg,"[3, 7, 1, 6, 0, 2, 4]"
PP47.jpg,"[6, 7, 5, 6, 0, 2, 4]"
PP48.jpg,"[7, 0, 7, 6, 0, 2, 4]"
PP49.jpg,"[6, 3, 7, 6, 0, 2, 4]"
PP5.jpg,"[5, 0, 7, 6, 0, 2, 4]"
PP50.jpg,"[6, 7, 1, 6, 0, 2, 4]"
PP51.jpg,"[5, 4, 6, 6, 0, 2, 4]"
PP52.jpg,"[7, 5, 6, 6, 0, 2, 4]"
PP53.jpg,"[7, 0, 7, 6, 0, 2, 4]"
PP54.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP55.jpg,"[5, 0, 7, 6, 0, 2, 4]"
PP56.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP57.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP58.jpg,"[7, 0, 7, 6, 0, 2, 4]"
PP59.jpg,"[7, 0, 7, 6, 0, 2, 4]"
PP6.jpg,"[5, 4, 6, 6, 0, 2, 4]"
PP60.jpg,"[5, 4, 7, 6, 0, 2, 4]"
PP61.jpg,"[6, 7, 1, 6, 0, 2, 4]"
PP7.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP8.jpg,"[6, 5, 3, 6, 0, 2, 4]"
PP9.jpg,"[6, 7, 5, 6, 0, 2, 4]"
