Image,7-Digit Output
S1.jpg,"[6, 7, 1, 5, 0, 3]"
S10.jpg,"[5, 0, 7, 5, 0, 3]"
S11.jpg,"[7, 6, 7, 5, 0, 3]"
S12.jpg,"[3, 5, 1, 5, 0, 3]"
S13.jpg,"[7, 5, 6, 5, 0, 3]"
S14.jpg,"[5, 6, 7, 5, 0, 3]"
S15.jpg,"[6, 7, 5, 5, 0, 3]"
S16.jpg,"[5, 4, 5, 5, 0, 3]"
S17.jpg,"[6, 7, 1, 5, 0, 3]"
S18.jpg,"[5, 7, 7, 5, 0, 3]"
S19.jpg,"[5, 4, 0, 5, 0, 3]"
S2.jpg,"[6, 5, 3, 5, 0, 3]"
S20.jpg,"[7, 7, 6, 5, 0, 3]"
S21.jpg,"[5, 3, 5, 5, 0, 3]"
S22.jpg,"[5, 7, 5, 5, 0, 3]"
S23.jpg,"[7, 6, 5, 5, 0, 3]"
S24.jpg,"[5, 4, 0, 5, 0, 3]"
S25.jpg,"[6, 7, 1, 5, 0, 3]"
S26.jpg,"[7, 5, 4, 5, 0, 3]"
S27.jpg,"[7, 0, 7, 5, 0, 3]"
S28.jpg,"[6, 7, 4, 5, 0, 3]"
S29.jpg,"[6, 5, 3, 5, 0, 3]"
S3.jpg,"[5, 0, 7, 5, 0, 3]"
S30.jpg,"[5, 0, 7, 5, 0, 3]"
S31.jpg,"[5, 4, 5, 5, 0, 3]"
S32.jpg,"[5, 4, 3, 5, 0, 3]"
S33.jpg,"[5, 6, 5, 5, 0, 3]"
S34.jpg,"[5, 7, 5, 5, 0, 3]"
S35.jpg,"[6, 5, 3, 5, 0, 3]"
S36.jpg,"[0, 5, 4, 5, 0, 3]"
S37.jpg,"[6, 7, 1, 5, 0, 3]"
S38.jpg,"[5, 7, 5, 5, 0, 3]"
S39.jpg,"[6, 5, 3, 5, 0, 3]"
S4.jpg,"[6, 7, 1, 5, 0, 3]"
S40.jpg,"[7, 5, 4, 5, 0, 3]"
S41.jpg,"[7, 6, 7, 5, 0, 3]"
S42.jpg,"[6, 7, 6, 5, 0, 3]"
S43.jpg,"[7, 5, 6, 5, 0, 3]"
S44.jpg,"[6, 7, 6, 5, 0, 3]"
S45.jpg,"[7, 0, 7, 5, 0, 3]"
S46.jpg,"[7, 5, 6, 5, 0, 3]"
S47.jpg,"[6, 7, 6, 5, 0, 3]"
S48.jpg,"[6, 5, 3, 5, 0, 3]"
S49.jpg,"[6, 7, 1, 5, 0, 3]"
S5.jpg,"[5, 0, 7, 5, 0, 3]"
S50.jpg,"[7, 6, 7, 5, 0, 3]"
S51.jpg,"[7, 6, 1, 5, 0, 3]"
S52.jpg,"[7, 1, 7, 5, 0, 3]"
S53.jpg,"[5, 4, 6, 5, 0, 3]"
S54.jpg,"[5, 0, 7, 5, 0, 3]"
S55.jpg,"[7, 6, 7, 5, 0, 3]"
S56.jpg,"[6, 5, 3, 5, 0, 3]"
S57.jpg,"[5, 0, 7, 5, 0, 3]"
S58.jpg,"[6, 7, 6, 5, 0, 3]"
S59.jpg,"[5, 4, 6, 5, 0, 3]"
S6.jpg,"[5, 4, 3, 5, 0, 3]"
S60.jpg,"[6, 5, 3, 5, 0, 3]"
S61.jpg,"[7, 5, 6, 5, 0, 3]"
S62.jpg,"[6, 7, 1, 5, 0, 3]"
S7.jpg,"[7, 5, 6, 5, 0, 3]"
S8.jpg,"[7, 0, 7, 5, 0, 3]"
S9.jpg,"[5, 6, 2, 5, 0, 3]"
