Image,7-Digit Output
SK1.jpg,"[5, 4, 7, 6, 0, 3]"
SK10.jpg,"[5, 6, 5, 6, 0, 3]"
SK11.jpg,"[5, 0, 7, 6, 0, 3]"
SK12.jpg,"[7, 5, 4, 6, 0, 3]"
SK13.jpg,"[5, 7, 5, 6, 0, 3]"
SK14.jpg,"[5, 4, 7, 6, 0, 3]"
SK15.jpg,"[6, 7, 6, 6, 0, 3]"
SK16.jpg,"[0, 5, 5, 6, 0, 3]"
SK17.jpg,"[5, 5, 4, 6, 0, 3]"
SK18.jpg,"[5, 5, 4, 6, 0, 3]"
SK19.jpg,"[5, 4, 6, 6, 0, 3]"
SK2.jpg,"[6, 5, 7, 6, 0, 3]"
SK20.jpg,"[7, 6, 5, 6, 0, 3]"
SK21.jpg,"[7, 6, 7, 6, 0, 3]"
SK22.jpg,"[5, 0, 7, 6, 0, 3]"
SK23.jpg,"[6, 5, 3, 6, 0, 3]"
SK24.jpg,"[5, 5, 4, 6, 0, 3]"
SK25.jpg,"[6, 7, 5, 6, 0, 3]"
SK26.jpg,"[4, 5, 5, 6, 0, 3]"
SK27.jpg,"[7, 5, 6, 6, 0, 3]"
SK28.jpg,"[5, 4, 1, 6, 0, 3]"
SK29.jpg,"[7, 6, 7, 6, 0, 3]"
SK3.jpg,"[6, 5, 3, 6, 0, 3]"
SK30.jpg,"[7, 0, 7, 6, 0, 3]"
SK31.jpg,"[5, 7, 1, 6, 0, 3]"
SK32.jpg,"[4, 3, 3, 6, 0, 3]"
SK33.jpg,"[6, 7, 6, 6, 0, 3]"
SK34.jpg,"[6, 3, 7, 6, 0, 3]"
SK35.jpg,"[5, 5, 4, 6, 0, 3]"
SK36.jpg,"[6, 7, 1, 6, 0, 3]"
SK37.jpg,"[5, 4, 7, 6, 0, 3]"
SK38.jpg,"[6, 7, 5, 6, 0, 3]"
SK39.jpg,"[7, 5, 4, 6, 0, 3]"
SK4.jpg,"[5, 4, 7, 6, 0, 3]"
SK40.jpg,"[7, 1, 0, 6, 0, 3]"
SK41.jpg,"[7, 6, 7, 6, 0, 3]"
SK42.jpg,"[5, 0, 7, 6, 0, 3]"
SK43.jpg,"[6, 5, 5, 6, 0, 3]"
SK44.jpg,"[6, 5, 7, 6, 0, 3]"
SK45.jpg,"[7, 6, 0, 6, 0, 3]"
SK46.jpg,"[7, 6, 7, 6, 0, 3]"
SK47.jpg,"[6, 7, 1, 6, 0, 3]"
SK48.jpg,"[5, 1, 7, 6, 0, 3]"
SK49.jpg,"[5, 4, 5, 6, 0, 3]"
SK5.jpg,"[6, 3, 7, 6, 0, 3]"
SK50.jpg,"[6, 7, 1, 6, 0, 3]"
SK51.jpg,"[6, 7, 1, 6, 0, 3]"
SK52.jpg,"[5, 6, 5, 6, 0, 3]"
SK53.jpg,"[7, 5, 6, 6, 0, 3]"
SK54.jpg,"[7, 5, 6, 6, 0, 3]"
SK55.jpg,"[5, 4, 7, 6, 0, 3]"
SK6.jpg,"[7, 6, 7, 6, 0, 3]"
SK7.jpg,"[7, 5, 6, 6, 0, 3]"
SK8.jpg,"[6, 5, 7, 6, 0, 3]"
SK9.jpg,"[7, 5, 6, 6, 0, 3]"
